amfi_code,sharpe_ratio
100016,-0.2015170675596694
100025,-0.5670947928476847
100033,1.0936987435346308
101206,1.0272133278753697
101207,0.1626607692864677
101208,-0.8155673679088278
102885,0.8170993373494368
102886,-0.20583160785470314
102887,0.6195175900829828
118632,1.0816591793457044
118633,0.6452074382933215
118634,0.44843400890899127
118635,0.6648569985490619
118636,-0.35662950751436795
119092,0.030784850954585913
119093,0.12961449795669325
119094,0.9982309868636414
119095,-0.07597357117478923
119120,-0.22657538662791596
119551,1.2082665673727175
119552,0.9532794968660103
119598,0.9453082575156093
119599,-0.05718662582817997
120503,0.7979728586052847
120504,1.0265242847993004
120505,1.1801011976606497
120506,0.6488787755249533
120507,0.4957233929533124
120841,0.49427253786723496
120842,0.07599984804658916
120843,1.3067439695428407
120844,-0.08874729621557331
125497,0.7757902498211207
125498,0.30061192104254775
148567,1.4482911703262595
148568,0.9262873467360148
148569,1.2349300257743296
149322,0.4640374492204776
149323,1.1321218524747245
149324,0.9497958246616031
